carID,Brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,paintQuality%,previousOwners,hasDamage
69512,VW, Golf,2016.0,22290,Semi-Auto,28421.0,Petrol,,11.417267753816397,2.0,63.0,4.0,0.0
53000,Toyota, Yaris,2019.0,13790,Manual,4589.0,Petrol,145.0,47.9,1.5,50.0,1.0,0.0
6366,Audi, Q2,2019.0,24990,Semi-Auto,3624.0,Petrol,145.0,40.9,1.5,56.0,4.0,0.0
29021,Ford, FIESTA,2018.0,12500,anual,9102.0,Petrol,145.0,65.7,1.0,50.0,-2.3403062167884485,0.0
10062,BMW, 2 Series,2019.0,22995,Manual,1000.0,Petrol,145.0,42.8,1.5,97.0,3.0,0.0
14704,BMW,3 Series,2014.0,8199,anual,101153.3482853059,Diesel,30.0,65.7,2.0,74.0,0.0,0.0
6924,Audi, A3,2017.0,16089,Manual,21396.0,Petrol,20.0,60.1,1.4,75.0,4.0,0.0
50783,Skoda, Octavia,2017.0,7500,Manual,116750.0,Diesel,145.0,68.9,1.6,59.0,4.0,0.0
67071,VW, Passat,2017.0,15999,Semi-Auto,30339.0,Diesel,150.0,62.8,2.0,85.0,4.0,0.0
23348,Ford, Focus,2019.0,15300,Manual,10700.0,Petrol,150.0,60.1,1.0,35.0,1.0,0.0
58447,Opel, Insignia,2018.0,11998,Manual,21123.0,Diesel,145.0,65.7,1.6,68.0,4.0,0.0
46005,Mercedes, A Clas,2020.0,24109,Semi-Aut,1000.0,Diesel,145.0,67.3,1.5,45.0,1.0,0.0
820,Audi, Q3,2017.0,17799,Automatic,26360.0,Petrol,145.0,47.9,1.4,30.0,4.0,0.0
48622,Skoda, Fabia,2019.0,13295,Automatic,14378.0,etrol,145.0,60.1,,59.0,1.0,0.0
65892,VW, Golf,2017.0,13990,Manual,9500.0,Petrol,150.0,54.3,1.4,69.0,2.0,0.0
40257,Mercedes, A Class,2019.0,19491,Automatic,7057.0,Diesel,145.0,68.9,1.5,74.0,3.0,0.0
18965,Ford, Ka+,2018.0,6990,Manual,15472.0,etrol,145.0,57.7,1.2,53.0,4.0,0.0
7969,BMW, 3 Series,2017.0,19995,Semi-Auto,9981.0,Diesel,150.0,62.8,2.0,57.0,0.0,0.0
20142,FOR, Focus,2017.0,18997,Manual,20112.0,Petrol,,,2.0,40.0,4.0,0.0
38898,mercedes, GLC Class,2017.0,28995,Automatic,30808.0,Diesel,150.0,56.5,,60.0,1.0,0.0
34015,Hyundai, I30,2016.0,7500,manual,51236.0,Diesel,20.0,72.4,1.6,94.0,4.0,0.0
39796,Mercedes, C Class,2019.0,31299,Semi-Auto,1000.0,Diesel,,,2.0,33.0,4.0,0.0
73943,VW, Polo,2016.0,8995,Manual,29925.0,Petrol,20.0,60.1,1.0,51.0,4.0,0.0
37829,Mercedes, E Class,2019.0,45995,Automatic,922.0,Diesel,145.0,47.1,3.0,50.0,1.0,0.0
68197,w, Golf,2013.0,12299,Automatic,64739.0,Petrol,160.0,44.1,2.0,47.0,4.0,0.0
35317,Mercedes, C Class,2019.0,26176,,9463.0,Petrol,,,1.5,87.0,1.0,0.0
35263,Mercedes, C Clas,,11295,Automatic,45000.0,Petrol,-56.19320153940018,46.3,1.6,59.0,,0.0
4145,Audi, Q5,2019.0,57895,Automatic,1255.0,Diesel,145.0,32.5,3.0,61.0,1.0,0.0
67486,VW, Up,2017.0,6750,Manual,42000.0,Petrol,20.0,60.1,1.0,83.0,4.0,0.0
21765,ord, Fiesta,2019.0,17990,Automatic,7295.0,Petrol,145.0,48.7,1.0,95.0,1.0,0.0
55065,Toyota, C-HR,2017.0,15490,Automatic,59000.0,Hybrid,0.0,74.3,1.8,95.0,2.0,0.0
63711,Opel, Mokka X,2017.0,10650,Semi-Auto,23000.0,Petrol,150.0,43.5,1.4,46.0,2.0,0.0
35376,Mercedes, C Class,2015.0,16998,,43883.0,Diesel,125.0,60.1,2.1,54.0,0.0,0.0
27974,Ford, Fiesta,2015.0,6800,unknown,40160.0,Petrol,125.0,54.3,1.2,59.0,4.0,0.0
35004,Mercedes, C Class,2016.0,21499,Automatic,26741.0,Diesel,,,2.1,80.0,1.0,0.0
53282,Toyota, Yaris,2023.3670784224635,16995,Manual,1225.0,Petrol,145.0,47.9,1.5,77.0,0.0,0.0
62793,Opel, Corsa,2019.0,9795,Manual,14787.0,Petrol,145.0,43.5,1.4,90.0,3.0,0.0
64396,Opel, Astra,2015.0,6995,,,Diesel,0.0,78.5,1.6,61.0,2.0,0.0
4745,Audi, TT,2019.0,29485,Automatic,3000.0,etrol,145.0,40.9,2.0,91.0,2.0,0.0
67795,VW, Golf,2019.0,21995,Semi-Auto,16998.0,Petrol,145.0,43.5,1.5,71.0,1.0,0.0
10138,MW, 5 Series,2019.0,27780,Semi-Auto,12182.0,Diesel,145.0,65.7,2.0,35.0,1.0,0.0
63398,Opel, Astra,2017.0,12000,Manual,16207.0,Petrol,125.0,51.4,1.4,44.0,1.0,0.0
13940,BMW, 3 Series,2020.0,32995,Semi-Auto,1501.0,Diesel,145.0,50.4,2.0,77.0,0.0,0.0
19811,Ford, Focus,2019.0,17990,Automatic,3289.0,Diesel,,,1.5,38.0,1.0,0.0
68423,VW, Polo,,10328,,26941.0,Petrol,145.0,60.1,1.2,97.0,4.0,0.0
52583,Toyota, Aygo,2018.0,7985,Automatic,14949.0,Petrol,150.0,67.0,1.0,69.0,0.0,0.0
39517,Mercedes, A Class,2019.0,19424,Manua,8276.0,Petrol,145.0,28.5,1.3,64.0,0.0,0.0
47887,Skoda, Fabia,2020.0,11990,,835.0,Petrol,145.0,47.1,1.0,55.0,3.0,0.0
11097,bmw, 4 Series,2019.0,36999,Automatic,3500.0,Diesel,145.0,50.4,3.0,46.0,3.0,0.0
